experiment_id,generator,model_key,split_kind,fold_id,budget_per_week,threshold,n_total,n_alerts,alerts_per_week,brier_score,calibration_slope,calibration_intercept,precision_tp_before_sl,expectancy_r_per_alert,hit_rate,profit_factor,max_drawdown_r,worst_20_trade_drawdown_r,median_hold_minutes,mean_probability_alerts,event_n_alerts,event_alerts_per_week,event_precision_tp_before_sl,event_expectancy_r_per_alert,event_hit_rate,event_profit_factor,event_max_drawdown_r,event_worst_20_trade_drawdown_r,event_median_hold_minutes,event_mean_probability_alerts,event_max_concurrent_positions,portfolio_selection_policy,overlap_filtered_alerts,primary_metric,test_start,test_end
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_11,1,0.5,10,4,1.3333333333333333,0.22612758923460596,0.07676355521513169,-1.3706456467845844,0.25,-0.25,0.25,0.6666666666666666,1.0,1.0,90.0,0.5,7,2.3333333333333335,0.14285714285714285,-0.5714285714285714,0.14285714285714285,0.3333333333333333,3.0,3.0,90.0,0.5,3,first_signal,3,-0.25,2025-05-19T00:00:00+00:00,2025-06-09T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_11,3,0.25,10,5,1.6666666666666667,0.22612758923460596,0.07676355521513169,-1.3706456467845844,0.2,-0.4,0.2,0.5,2.0,2.0,90.0,0.46369646907374706,10,3.3333333333333335,0.2,-0.4,0.2,0.5,4.0,4.0,85.0,0.45092042840893487,3,first_signal,5,-0.4,2025-05-19T00:00:00+00:00,2025-06-09T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_12,1,0.35294117647058826,39,17,5.666666666666667,0.1841292360001972,-0.04174343007911584,-1.4351909421559148,0.29411764705882354,-0.11764705882352941,0.29411764705882354,0.8333333333333334,11.0,11.0,55.0,0.35294117647058826,33,11.0,0.21212121212121213,-0.36363636363636365,0.21212121212121213,0.5384615384615384,23.0,19.0,50.0,0.35294117647058826,3,first_signal,16,-0.11764705882352941,2025-06-09T00:00:00+00:00,2025-06-30T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_12,3,0.35294117647058826,39,17,5.666666666666667,0.1841292360001972,-0.04174343007911584,-1.4351909421559148,0.29411764705882354,-0.11764705882352941,0.29411764705882354,0.8333333333333334,11.0,11.0,55.0,0.35294117647058826,33,11.0,0.21212121212121213,-0.36363636363636365,0.21212121212121213,0.5384615384615384,23.0,19.0,50.0,0.35294117647058826,3,first_signal,16,-0.11764705882352941,2025-06-09T00:00:00+00:00,2025-06-30T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_13,1,0.999999,21,0,0.0,0.21296296296315345,0.35311220387350484,-0.04528258740351182,,,,,,,,,0,0.0,,,,,,,,,0,first_signal,0,,2025-06-30T00:00:00+00:00,2025-07-21T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_13,3,0.16666666666666666,21,10,3.3333333333333335,0.21296296296315345,0.35311220387350484,-0.04528258740351182,0.3,-0.1,0.3,0.8571428571428571,5.0,5.0,65.0,0.16666666666666669,17,5.666666666666667,0.35294117647058826,0.058823529411764705,0.35294117647058826,1.0909090909090908,8.0,8.0,75.0,0.16666666666666666,3,first_signal,7,-0.1,2025-06-30T00:00:00+00:00,2025-07-21T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_14,1,0.6666666666666666,6,1,0.3333333333333333,0.5752073559106375,,,0.0,-1.0,0.0,0.0,0.0,0.0,35.0,0.999999,2,0.6666666666666666,0.0,-1.0,0.0,0.0,1.0,1.0,32.5,0.999999,2,first_signal,1,-1.0,2025-07-21T00:00:00+00:00,2025-08-11T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_14,3,0.5,6,3,1.0,0.5752073559106375,,,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,35.0,0.6837966292997493,4,1.3333333333333333,0.25,-0.25,0.25,0.6666666666666666,2.0,2.0,35.0,0.7628472219748119,2,first_signal,1,0.0,2025-07-21T00:00:00+00:00,2025-08-11T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_17,1,0.999999,24,7,2.3333333333333335,0.49999900000099995,0.009381974233862871,0.7175179811252674,0.7142857142857143,1.1428571428571428,0.7142857142857143,5.0,1.0,1.0,50.0,0.999999,10,3.3333333333333335,0.7,1.1,0.7,4.666666666666667,2.0,2.0,62.5,0.9999990000000001,2,first_signal,3,1.1428571428571428,2025-09-22T00:00:00+00:00,2025-10-13T00:00:00+00:00
S0_native_continuation,continuation_v1_fast,baseline,outer,outer_17,3,1e-06,24,13,4.333333333333333,0.49999900000099995,0.009381974233862871,0.7175179811252674,0.6923076923076923,1.1490484712499478,0.6923076923076923,5.877800769361101,1.0623698737506793,1.0623698737506793,150.0,0.4615385384615385,24,8.0,0.6666666666666666,1.039067921927055,0.6666666666666666,4.531056935850551,2.0623698737506793,2.0623698737506793,70.0,0.4166668333333334,4,first_signal,11,1.1490484712499478,2025-09-22T00:00:00+00:00,2025-10-13T00:00:00+00:00
