experiment_id,generator,model_key,split_kind,fold_id,budget_per_week,threshold,n_total,n_alerts,alerts_per_week,brier_score,calibration_slope,calibration_intercept,precision_tp_before_sl,expectancy_r_per_alert,hit_rate,profit_factor,max_drawdown_r,worst_20_trade_drawdown_r,median_hold_minutes,mean_probability_alerts,primary_metric,test_start,test_end
S3_plus_crowding_veto,continuation_v1,baseline,outer,outer_03,1,0.9461426658386983,6,2,1.265536723163842,0.14804249537706116,,,1.0,2.0,1.0,inf,0.0,0.0,202.5,0.999999,2.0,2024-11-30T00:00:00+00:00,2024-12-21T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,outer,outer_03,3,0.043424165681177976,6,5,3.1638418079096047,0.14804249537706116,,,0.6,0.8737545272501146,0.6,3.6782119607219026,1.631227363749427,1.631227363749427,210.0,0.7874445520139914,0.8737545272501146,2024-11-30T00:00:00+00:00,2024-12-21T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,outer,outer_04,1,0.9686538281340492,7,0,0.0,0.367292715462671,,,,,,,,,,,,2024-12-21T00:00:00+00:00,2025-01-11T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,outer,outer_04,3,0.22009121440422574,7,7,49.0,0.367292715462671,,,0.0,-0.9066766750476872,0.0,0.0,6.000000000000001,6.000000000000001,1395.0,0.5976734707772352,-0.9066766750476872,2024-12-21T00:00:00+00:00,2025-01-11T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,outer,outer_05,1,0.9689170421688807,6,0,0.0,0.8735010276811627,,,,,,,,,,,,2025-01-11T00:00:00+00:00,2025-02-01T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,outer,outer_05,3,0.9689170421688807,6,0,0.0,0.8735010276811627,,,,,,,,,,,,2025-01-11T00:00:00+00:00,2025-02-01T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,outer,outer_10,1,0.6736093469852059,13,8,56.0,0.30833834137904925,0.5439873416577297,-0.9097084551318673,0.5,0.5,0.5,2.0,3.0,3.0,90.0,0.750771639167032,0.5,2025-04-26T00:00:00+00:00,2025-05-17T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,outer,outer_10,3,0.6736093469852059,13,8,56.0,0.30833834137904925,0.5439873416577297,-0.9097084551318673,0.5,0.5,0.5,2.0,3.0,3.0,90.0,0.750771639167032,0.5,2025-04-26T00:00:00+00:00,2025-05-17T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,final,final_frozen,1,0.794378735426472,7,0,0.0,0.31417948104248444,,,,,,,,,,,,2026-03-01T00:00:00+00:00,2026-03-27T00:00:00+00:00
S3_plus_crowding_veto,continuation_v1,baseline,final,final_frozen,3,0.6762647468677697,7,0,0.0,0.31417948104248444,,,,,,,,,,,,2026-03-01T00:00:00+00:00,2026-03-27T00:00:00+00:00
